time,force,other
1732626107.339582,5.300000,""
1732626107.399583,4.800000,""
1732626107.489583,4.100000,""
1732626107.589583,3.600000,""
1732626107.619583,,"TRIG"
1732626107.679583,3.400000,""
1732626107.769583,3.300000,""
1732626107.869583,4.100000,""
1732626107.929583,6.600000,""
1732626108.019583,12.900000,""
1732626108.119584,18.000000,""
1732626108.209584,19.000000,""
1732626108.299584,18.600000,""
1732626108.369584,18.100000,""
1732626108.459584,13.600000,""
1732626108.549584,6.700000,""
1732626108.649584,3.700000,""
1732626108.739584,2.200000,""
1732626108.799585,1.700000,""
1732626108.899585,1.900000,""
1732626108.989585,2.000000,""
1732626109.079585,2.100000,""
1732626109.179585,2.300000,""
1732626109.209585,,"TRIG"
1732626109.239585,2.800000,""
1732626109.329585,3.700000,""
1732626109.429585,3.600000,""
1732626109.519586,3.500000,""
1732626109.609586,8.500000,""
1732626109.679586,14.200000,""
1732626109.769586,16.400000,""
1732626109.859586,15.900000,""
1732626109.959586,15.000000,""
1732626110.049586,10.200000,""
1732626110.139586,4.700000,""
1732626110.209586,3.300000,""
1732626110.299587,2.300000,""
1732626110.389587,2.000000,""
1732626110.489587,1.900000,""
1732626110.549587,1.700000,""
1732626110.639587,1.900000,""
1732626110.739587,2.300000,""
1732626110.769587,,"TRIG"
1732626110.829587,2.500000,""
1732626110.919588,2.800000,""
1732626110.989588,3.000000,""
1732626111.079588,4.200000,""
1732626111.169588,8.300000,""
1732626111.269588,12.700000,""
1732626111.359588,14.500000,""
1732626111.449588,15.500000,""
1732626111.519588,14.500000,""
1732626111.609588,10.700000,""
1732626111.699589,6.600000,""
1732626111.799589,4.700000,""
1732626111.889589,3.700000,""
1732626111.979589,3.400000,""
1732626112.049589,3.300000,""
1732626112.139589,3.200000,""
1732626112.229589,3.200000,""
1732626112.329590,3.300000,""
1732626112.359589,,"TRIG"
1732626112.389590,3.400000,""
1732626112.479590,3.500000,""
1732626112.579590,3.500000,""
1732626112.669590,3.900000,""
1732626112.759590,8.500000,""
1732626112.829590,13.100000,""
1732626112.919590,14.800000,""
1732626113.009590,14.900000,""
1732626113.109591,13.500000,""
1732626113.199591,10.000000,""
1732626113.289591,6.100000,""
1732626113.359591,3.700000,""
1732626113.449591,2.500000,""
1732626113.539591,2.400000,""
1732626113.639591,2.600000,""
1732626113.729591,2.900000,""
1732626113.789592,3.400000,""
1732626113.889592,3.900000,""
1732626113.919592,,"TRIG"
1732626113.979592,4.100000,""
1732626114.069592,4.100000,""
